surface_form,canonical_name,priority
cảm giác thắt chặt ngực vùng trước tim,chest tightness,130
Tăng đánh trống ngực,increased palpitations,125
cảm giác thắt chặt ngực,chest tightness,122
chảy nước mũi,rhinorrhea,110
mệt khi đi bộ,exertional fatigue,110
nôn ra thức ăn,vomiting food,115
đau đầu nhẹ,mild headache,110
ho đờm vàng,productive cough with yellow sputum,115
lower abdominal pain,lower abdominal pain,115
giảm dung nạp gắng sức,reduced exercise tolerance,125
khó chịu vùng ngực,chest discomfort,120
đau sau xương ức,retrosternal pain,120
đau ngực trái,left chest pain,120
khó thở khi gắng sức,exertional dyspnea,120
ho ra máu,hemoptysis,120
đi ngoài ra máu,bloody stool,120
tiểu tiện không tự chủ,urinary incontinence,120
tiểu không tự chủ,urinary incontinence,120
đánh trống ngực,palpitations,115
thắt chặt ngực,chest tightness,115
đau thượng vị,epigastric pain,115
đau bụng quanh rốn,periumbilical pain,115
đau bụng quặn,colicky abdominal pain,115
đau bụng,abdominal pain,100
đau ngực,chest pain,100
khó thở,dyspnea,100
mệt mỏi,fatigue,100
buồn nôn,nausea,100
đổ mồ hôi,diaphoresis,100
chóng mặt,dizziness,100
đau đầu,headache,100
ho khan,dry cough,105
ho có đờm,productive cough,105
ho,cough,80
sốt,fever,100
fever,fever,100
đờm,sputum,90
tiêu chảy,diarrhea,100
táo bón,constipation symptom,100
nôn,vomiting,90
ngất xỉu,syncope,110
ngất,syncope,100
phù hai mắt cá chân,ankle edema,115
phù chân,leg edema,110
phù,edema,80
đau cơ,myalgia,100
đau cổ,neck pain,100
đau vai,shoulder pain,95
đau lưng,back pain,95
đau bẹn,groin pain,100
đau chân,leg pain,95
đau tay,arm pain,95
chán ăn,loss of appetite,100
ăn không ngon miệng,loss of appetite,105
sợ ánh sáng,photophobia,100
mất định hướng,disorientation,100
đi lại không vững,unsteady gait,105
không đáp ứng,unresponsiveness,80
lú lẫn,confusion,100
yếu,weakness,70
yếu chi,limb weakness,100
liệt hai chân,paraplegia symptom,105
co giật,seizure symptom,100
động kinh,seizure symptom,90
ban đỏ,erythema,100
chảy mủ,purulent discharge,100
sưng,swelling,80
đau đớn,pain,80
đau,pain,50
căng thẳng,stress,85
mất ngủ,insomnia,100
khó ngủ,insomnia,100
hồi hộp,palpitations,90
khò khè,wheezing,100
thở khò khè,wheezing,105
đau khi tiểu,dysuria,100
tiểu buốt,dysuria,100
tiểu rắt,urinary frequency,100
tiểu đêm,nocturia,100
hoảng loạn,panic,90
ảo giác,hallucination,100
đau rát,burning pain,90
sụt cân,weight loss,100
tăng cân,weight gain,100
khó nuốt,dysphagia,100
nuốt đau,odynophagia,100
ợ nóng,heartburn,100
trào ngược,reflux symptom,80
tim đập nhanh,tachycardia symptom,120
sốt cao,high fever,120
vàng da,jaundice,120
vàng mắt,scleral icterus,120
chậm phát triển trí tuệ và vận động,developmental delay,120
chậm phát triển trí tuệ,intellectual developmental delay,115
rối loạn vận động,movement disorder symptom,115
